"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
25,1.5,27,2,2.91125825963613,4.02417060178144,1.02291611270436,0.0723738058584816,1,1
25,1.5,27,3,2.57875349834043,4.04142589052453,1.88832595618785,0.0738821032664782,1,1
25,1.5,27,4,0.800104303260056,4.01302471553282,1.52148752786171,0.0650942539057545,0,1
25,1.5,27,5,7.2546928746302,4.04049090444077,2.60928028503931,0.0694674474544077,1,1
25,1.5,27,6,0.807516654695594,4.02881448861943,4.01271055154213,0.0768737212874297,1,1
25,1.5,28,1,6.20404019864329,4.02110970961921,2.15208755303126,0.0822095529747513,1,1
25,1.5,28,2,4.58400037836188,3.94928628313026,1.43243176039861,0.0655121531323531,1,1
25,1.5,28,3,2.60040720426159,3.93658057233347,2.48537156489642,0.0637412129847062,1,1
25,1.5,28,4,-5.32291465322345,3.88950198456135,5.52272986680483,0.107173720263301,1,1
25,1.5,28,5,3.98343401265435,3.9399693908794,1.22514301075135,0.0736782141235779,1,1
25,1.5,28,6,4.68758383638181,3.93731238083584,2.31713746240913,0.0756611414556218,1,1
25,1.5,29,1,2.78726134907924,4.06807221940068,1.41917065663566,0.0524122435908359,1,1
25,1.5,29,2,3.63097151781865,4.10167697900705,0.93666788121956,0.0542251372382167,1,1
25,1.5,29,3,4.27819426862775,4.07189877086065,0.656377028893689,0.0530851285243732,1,1
25,1.5,29,4,8.83308959760266,4.08435313589605,3.91500310957063,0.0484010674200475,1,1
25,1.5,29,5,3.38199827206103,4.0625410380609,0.29813080087214,0.0617006213148069,0,1
25,1.5,29,6,3.71245538076676,4.10610856604204,0.434463457397168,0.0471815128035113,1,0
25,1.5,30,1,1.51149501548979,4.07194169912935,1.60514933425655,0.0618337913495342,1,1
25,1.5,30,2,2.2513820785956,4.044446638457,1.5806317168955,0.0618565509466873,1,1
25,1.5,30,3,2.02911483709193,4.06334654138951,1.67226558169418,0.0717671729040631,1,1
25,1.5,30,4,3.77277391915734,4.04082247779808,1.23576083228727,0.0695967959079948,1,1
25,1.5,30,5,6.43581430761692,4.01707476423399,3.45557151261461,0.0685752822778854,1,1
25,1.5,30,6,4.58560867946237,4.12308511521135,1.99952082811451,0.049685446938355,1,0
25,1.5,31,1,6.53116085232084,4.05628713045805,1.40352209821909,0.075629174211021,1,1
25,1.5,31,2,2.94111546810296,4.09914523858202,0.907735100361477,0.0720735780612425,1,1
25,1.5,31,3,-16.8525710762441,4.09143027631568,12.3376049435857,0.0798209978852802,1,1
25,1.5,31,4,3.93257518562004,4.00169161404283,0.945636931572046,0.0726659406493378,1,1
25,1.5,31,5,-6.2117852966977,4.00843946362422,9.10005861407717,0.0705355869373015,1,1
25,1.5,31,6,2.77886703141595,4.0361036515449,1.0767850287844,0.0655715314274825,1,1
25,1.5,32,1,4.91805031458119,3.95664897835096,1.08240398849268,0.0742538729159766,1,1
25,1.5,32,2,-0.646593662401656,4.03324205406926,2.3124166848825,0.0681848285851217,0,1
25,1.5,32,3,-6.68613000545768,3.91126745534352,6.09417880113896,0.0702550425934045,1,1
25,1.5,32,4,-0.687064056864681,3.98987959026356,2.60375815897786,0.0695367286553434,1,1
25,1.5,32,5,-0.277664544802236,4.04449718004137,2.19087737998701,0.0720972746414972,1,1
25,1.5,32,6,1.8671403665384,4.08824557198279,3.56434471915427,0.0805715992135784,1,1
25,1.5,33,1,12.2261421037667,3.86967573836576,7.79719886846614,0.0490074587396461,1,0
25,1.5,33,2,6.13822620415368,3.85919029012325,0.844688818998012,0.0596984058774103,0,0
25,1.5,33,3,4.5753822976408,3.91980706927902,0.613810803757081,0.0552341893807938,1,1
25,1.5,33,4,5.96314843826265,3.94535066226514,1.62536742058144,0.0571367920967891,1,1
25,1.5,33,5,25.5728151719493,3.9480803342751,20.1049771178078,0.0543364601724509,1,1
25,1.5,33,6,22.1352438409598,3.89348388050863,18.4969779753723,0.0623946250436777,1,1
25,1.5,34,1,-25.6212081709381,4.0929807084767,25.5008050171842,0.0599648123782262,1,1
25,1.5,34,2,3.49134863974538,4.08567236865059,0.924403211375271,0.0624172456481483,1,1
25,1.5,34,3,-0.830498258765772,4.06461231020053,2.48675150971427,0.0688598584501083,1,1
25,1.5,34,4,-1.96524393469991,4.06581335261018,5.13862421039561,0.0550139421028906,1,1
25,1.5,34,5,135.859352259798,4.12239680420476,126.306041423258,0.0603077559367673,1,0
25,1.5,34,6,1.82141331037803,4.02945985935975,1.44105657826726,0.0646940401919422,1,1
25,1.5,35,1,3.5847108821246,4.02008009584045,1.69562195203259,0.0600678957148889,1,1
25,1.5,35,2,4.51557458677775,4.03236422430088,0.955307463774393,0.0537966331158506,1,1
25,1.5,35,3,12.3620221896641,3.97331678779578,5.16526217349152,0.0544316851089551,1,1
25,1.5,35,4,5.02190224395297,4.02836012668417,0.942773611778939,0.0638726934518815,1,1
25,1.5,35,5,2.03073062421249,4.03299350592239,0.959697995395415,0.0567015694661939,0,1
25,1.5,35,6,1.13530283291537,4.09125800893591,3.25575881925546,0.0841297275929447,1,1
25,1.5,36,1,3.45204441539465,3.79275851773772,0.596895669572188,0.0493824504393898,1,0
25,1.5,36,2,3.97901242739502,3.89680220443132,1.68930162813469,0.0660281967720778,1,1
25,1.5,36,3,3.8660971959434,3.85660497624184,0.659582015922978,0.0497202086041155,1,0
25,1.5,36,4,-15.965624419791,3.90339502031206,22.3437442527469,0.0692841226194104,1,1
25,1.5,36,5,-15.1358970096072,3.77321535972462,15.3215377658245,0.0651337685480075,1,0
25,1.5,36,6,5.31493612069019,3.80322815119176,1.61589902457494,0.0601287503696805,1,0
25,1.5,37,1,4.54087288087121,4.07738392017519,1.11670614110855,0.0871301897213757,1,1
25,1.5,37,2,2.92069868803292,4.15288668121089,1.33598046940895,0.075355452331401,1,0
25,1.5,37,3,3.43881192523911,4.18698318682639,1.29216645924879,0.0773215761872756,1,0
25,1.5,37,4,2.69768806145144,4.14460166704267,1.00172945335145,0.0704322298900542,1,0
25,1.5,37,5,4.66782059825295,4.15042241140367,1.68727466396739,0.0754804219018796,1,0
25,1.5,37,6,2.86341262909522,4.15675347010775,1.14434115994273,0.0890304626447377,1,1
25,1.5,38,1,3.3998717375487,3.96468753733334,0.670695423639356,0.0498557438083429,1,1
25,1.5,38,2,1.59918709998325,3.99226385079997,1.34935858588552,0.0618586931136735,1,1
25,1.5,38,3,2.73691598671427,4.02966200427321,0.698057302381809,0.0576989615975377,1,1
25,1.5,38,4,3.39922545088628,3.93327779336298,2.40899504315101,0.0619547983759989,1,1
25,1.5,38,5,-6.58316739963644,4.08015929673561,7.06784961889078,0.0675498167134882,1,1
25,1.5,38,6,18.7801718909407,4.06928864859989,11.5518641760386,0.0866263555516733,1,1
25,1.5,39,1,-4.72235003871824,4.02342706915928,5.10227435200829,0.111967873584533,1,1
25,1.5,39,2,9.3504187484114,4.13151154426089,5.44715345343768,0.0750141304733243,1,1
25,1.5,39,3,3.73863964659365,4.04489254747726,1.84951487240728,0.0641909224291812,1,1
25,1.5,39,4,6.69033588567549,3.72463628950455,21.4650744096387,0.151451005918995,1,1
25,1.5,39,5,5.19676849453318,4.10150688269333,1.547895399644,0.064348381756523,1,1
25,1.5,39,6,3.91926000132167,4.05544150094315,4.70951203776983,0.0768858479213255,1,1
25,1.5,40,1,25.149646090126,3.84765480985553,14.466298694855,0.0589981837608663,1,0
25,1.5,40,2,5.83102293169477,3.87558951813308,1.28642688613235,0.0565545194822859,1,0
25,1.5,40,3,4.98665430332584,3.87155019833656,1.58923559720948,0.0544093562569222,1,0
25,1.5,40,4,8.27899616822754,3.92754996828517,2.81913515160273,0.0533731290196537,1,1
25,1.5,40,5,4.39882682451704,3.90921988406554,2.63810160324023,0.0586574878363461,1,1
25,1.5,40,6,4.74797830470089,3.90460370602993,1.52273672086146,0.054444209660061,1,1
25,1.5,41,1,4.75966919096806,4.03563400512953,0.980434137471922,0.0547691544798794,1,1
25,1.5,41,2,2.43372420903964,3.97409173238444,1.5044616300502,0.0771411609333754,1,1
25,1.5,41,3,2.17700704986957,4.0139164663781,3.79940637840572,0.0620005728294348,1,1
25,1.5,41,4,2.99022903329964,4.086106745887,2.20336962681326,0.0646473279785474,1,1
25,1.5,41,5,2.90673083453346,4.02542217779994,1.75184002593111,0.0580094068082189,1,1
25,1.5,41,6,-4.8787425310793,3.9999127224686,4.62744238034491,0.0824152457715313,1,1
25,1.5,42,1,3.81843506912694,3.94141506585318,0.398824590869626,0.0747077610251976,1,1
25,1.5,42,2,5.59548555135526,4.01660517042568,1.32426215506258,0.0522381518350451,1,1
25,1.5,42,3,2.19670921382155,3.99916469861943,0.917230298723649,0.0626321044684023,0,1
25,1.5,42,4,5.21442705389692,3.96568633579562,1.34821139530115,0.0584497986961895,1,1
25,1.5,42,5,5.9434222542765,3.96948244031118,2.01601077010254,0.0622538786880047,1,1
25,1.5,42,6,2.82755746865652,3.94599324712593,0.712221622159152,0.0556706330092575,1,1
25,1.5,43,1,5.03764909641343,3.98237533434092,2.51319390905313,0.0704428229193211,1,1
25,1.5,43,2,4.09108007332967,4.02055520625033,1.48950655242398,0.0604498284420857,1,1
25,1.5,43,3,4.56999891837886,4.06179339745488,0.92845591970017,0.0505913945101106,1,1
25,1.5,43,4,2.7214029537198,4.0143612813147,1.24144582384751,0.0708019047697662,1,1
25,1.5,43,5,5.52805747888888,4.05172064628335,0.911052162075617,0.0549660875863225,1,1
25,1.5,43,6,4.28601754659702,4.02263353617366,0.723407327038221,0.0572620425468302,1,1
25,1.5,44,1,7.5693580943418,3.93335654941193,2.41304135286196,0.0662477181152579,1,1
25,1.5,44,2,-1.72900848426383,3.90725507451264,4.70482249547035,0.0659037491441287,1,1
25,1.5,44,3,-3.06837173380627,3.87610217301295,4.35440343226277,0.0623848182396997,1,0
25,1.5,44,4,3.99692198220544,3.93142604991148,0.772037098355287,0.0589694931935713,1,1
25,1.5,44,5,4.68328126452434,3.91653980730901,0.692657238543131,0.0635752783232395,1,1
25,1.5,44,6,3.7012509956687,3.88214249278474,0.505289049836409,0.0688148477418671,1,1
25,1.5,45,1,8.97286679685105,3.89547995995635,2.9126072120211,0.120643578354061,1,1
25,1.5,45,2,4.6113912442922,4.01492219479672,0.458995738321007,0.0527453607015753,1,1
25,1.5,45,3,5.57085196273848,4.00604917324967,0.855915405812735,0.0484328828261068,1,1
25,1.5,45,4,4.80869749640087,3.99577566089552,0.549511230143479,0.0477405357583839,1,1
25,1.5,45,5,19.2189338433263,4.03883986187757,7.28110885991976,0.0526262863573855,0,1
25,1.5,45,6,5959.18838402041,4.00066507895399,5510.58836840864,0.048841087034072,1,1
